status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
splacona_cz,800.0,62,kobieta,13,3700.0,3,25,48,0
splacona_cz,300.0,63,kobieta,13,1100.0,0,103,48,0
splacona_cz,400.0,65,mężczyzna,16,1473.04,0,164,48,0
splacona_cz,350.0,78,mężczyzna,13,1519.0,0,253,48,0
splacona_cz,200.0,37,kobieta,12,599.03,2,18,18,2
splacona_cz,200.0,56,kobieta,98,980.0,2,9,48,0
splacona_cz,200.0,74,kobieta,13,1026.0,3,246,48,2
splacona_cz,218.32,61,kobieta,13,975.0,3,26,48,3
splacona_cz,393.99,59,mężczyzna,11,2947.0,3,52,48,0
splacona,694.0,38,kobieta,11,1900.0,3,207,48,12
splacona_cz,300.0,72,kobieta,13,2100.0,0,159,48,0
splacona_cz,800.0,35,mężczyzna,12,1500.0,0,32,35,4
splacona,300.0,66,mężczyzna,16,1151.0,0,360,48,0
splacona_cz,277.34,39,kobieta,11,1770.0,3,86,48,0
splacona_cz,700.0,61,kobieta,13,1977.0,1,54,48,3
splacona_cz,200.0,63,mężczyzna,13,1287.66,2,95,48,0
splacona_cz,300.0,46,kobieta,11,900.0,3,92,48,0
splacona_cz,300.0,73,mężczyzna,13,960.0,3,139,48,1
windykacja,300.0,27,mężczyzna,12,1800.0,0,34,48,4578
splacona,200.0,58,kobieta,13,1083.23,1,96,48,0
splacona_cz,800.0,55,kobieta,13,3440.0,3,50,48,1
splacona,427.09,43,mężczyzna,98,3178.0,3,200,48,11
splacona_cz,400.0,71,mężczyzna,13,1772.53,0,279,48,0
splacona_cz,200.0,68,kobieta,13,803.86,3,157,48,0
splacona_cz,300.0,60,kobieta,13,1026.0,3,54,48,23
splacona,297.69,63,kobieta,13,1014.0,1,182,48,11
splacona,400.0,63,mężczyzna,13,1193.65,2,8,48,0
splacona_cz,285.97,38,kobieta,98,1200.0,3,45,48,0
splacona_cz,328.32,50,kobieta,12,1000.0,3,31,34,0
splacona_cz,328.0,60,mężczyzna,12,1000.0,3,11,14,0
splacona_cz,200.0,54,kobieta,11,1400.0,3,116,48,0
windykacja,200.0,18,mężczyzna,12,1286.0,0,1,2,4578
splacona_cz,600.0,29,mężczyzna,12,1300.0,3,26,41,4
splacona_cz,300.0,54,mężczyzna,17,798.8,3,148,48,4
splacona_cz,300.0,63,kobieta,13,917.0,1,75,48,2
splacona,377.69,40,kobieta,11,1087.0,2,237,48,18
splacona_cz,500.0,38,mężczyzna,11,2470.0,0,65,48,3
splacona,200.0,63,mężczyzna,13,1538.0,3,100,48,8
splacona_cz,300.0,39,mężczyzna,11,1300.0,3,44,48,0
splacona_cz,200.0,60,kobieta,13,1635.0,3,119,48,1
splacona_cz,300.0,42,kobieta,99,2290.55,0,17,20,0
splacona,200.0,79,kobieta,13,1167.94,0,368,48,0
splacona_cz,400.0,63,kobieta,13,1233.0,2,122,48,0
splacona,500.0,64,mężczyzna,13,1530.0,0,34,48,0
splacona_cz,400.0,62,mężczyzna,16,1313.41,3,27,48,0
splacona,300.0,59,mężczyzna,13,3900.0,0,113,48,1
splacona,521.49,62,kobieta,13,1525.46,3,35,48,2
splacona_cz,200.0,62,mężczyzna,13,1162.0,3,220,48,0
windykacja,250.0,62,mężczyzna,99,685.0,3,4,4,4576
splacona_cz,500.0,70,kobieta,13,1200.0,3,118,48,1
splacona_cz,200.0,58,kobieta,16,634.0,2,50,48,0
splacona_cz,800.0,55,kobieta,16,2300.0,4,62,48,0
splacona_cz,300.0,39,kobieta,12,1027.0,3,8,48,3
splacona,262.81,61,kobieta,13,5100.0,3,27,48,0
splacona_cz,400.0,54,kobieta,11,2800.0,3,59,48,0
splacona_cz,500.0,45,kobieta,11,3000.0,3,92,48,3
splacona_cz,500.0,62,kobieta,13,714.0,4,221,48,1
splacona_cz,600.0,68,kobieta,13,2120.0,3,118,48,0
splacona_cz,400.0,65,kobieta,13,1013.74,3,112,48,0
splacona,200.0,61,kobieta,13,984.0,2,10,48,1
splacona,400.0,60,kobieta,13,1425.0,1,78,48,0
splacona_cz,200.0,67,kobieta,13,720.19,1,92,48,4
splacona_cz,281.29,55,kobieta,12,1350.0,3,21,24,1
splacona_cz,500.0,73,kobieta,13,951.0,3,161,48,4
splacona,300.0,31,mężczyzna,98,2000.0,0,13,48,0
splacona_cz,400.0,58,kobieta,11,1500.0,2,84,48,0
splacona,700.0,33,kobieta,11,2200.0,0,36,48,0
splacona_cz,200.0,73,kobieta,13,866.46,0,194,48,0
splacona,473.0,33,kobieta,11,1400.0,0,100,48,0
splacona,300.0,33,mężczyzna,11,2100.0,0,63,48,67
splacona,700.0,28,mężczyzna,12,1800.0,3,10,10,7
splacona_cz,300.0,55,kobieta,12,1009.34,2,28,48,0
splacona_cz,300.0,49,mężczyzna,12,1042.0,0,4,4,1
splacona_cz,200.0,66,kobieta,13,1428.55,3,136,48,4
splacona_cz,300.0,70,kobieta,13,1000.0,0,63,48,0
splacona_cz,400.0,40,kobieta,12,660.0,3,11,38,2
splacona_cz,200.0,75,kobieta,13,616.0,3,245,48,6
splacona_cz,496.83,31,kobieta,11,1600.0,3,13,48,4
splacona_cz,300.0,65,mężczyzna,13,1611.0,1,140,48,0
splacona_cz,367.31,61,kobieta,13,1684.0,3,19,48,3
splacona,200.0,58,kobieta,13,1500.0,3,45,48,3
splacona_cz,200.0,53,kobieta,16,1740.0,0,113,48,1
splacona_cz,400.0,47,kobieta,11,3170.0,3,284,48,0
splacona_cz,700.0,65,kobieta,13,930.0,4,130,48,0
splacona_cz,426.66,47,mężczyzna,12,1574.45,2,30,35,0
splacona_cz,500.0,72,kobieta,13,640.0,0,138,48,1
splacona_cz,400.0,62,kobieta,13,1474.55,2,64,48,0
splacona_cz,600.0,47,kobieta,12,830.46,2,44,48,4
splacona_cz,357.31,40,mężczyzna,11,1261.98,3,35,48,0
splacona_cz,265.58,62,kobieta,13,1189.0,3,69,48,0
splacona_cz,350.0,61,mężczyzna,16,837.0,2,230,48,0
splacona_cz,900.0,58,kobieta,17,684.0,3,189,48,0
splacona_cz,200.0,75,kobieta,13,965.0,3,244,48,1
splacona_cz,200.0,57,kobieta,16,703.0,3,25,48,8
splacona,200.0,19,mężczyzna,99,750.0,3,3,5,0
splacona_cz,600.0,54,kobieta,12,1675.0,3,8,11,0
splacona_cz,400.0,54,kobieta,16,1045.6,4,11,48,0
splacona_cz,400.0,66,kobieta,13,1137.19,3,95,48,0
splacona_cz,300.0,35,kobieta,12,1200.0,3,8,14,0
splacona_cz,200.0,46,kobieta,12,990.34,2,55,48,2
splacona_cz,327.0,52,kobieta,11,2065.98,3,178,48,1
splacona,400.0,38,kobieta,11,800.51,0,19,48,11
splacona_cz,400.0,57,kobieta,13,1817.24,2,17,48,1
splacona_cz,300.0,77,kobieta,13,1239.0,3,269,48,0
splacona_cz,300.0,25,mężczyzna,12,1400.0,2,11,32,1
splacona,200.0,57,mężczyzna,16,763.38,3,210,48,46
splacona_cz,300.0,61,kobieta,13,997.0,3,78,48,2
splacona,515.96,58,kobieta,13,1801.41,0,37,48,9
windykacja,241.15,54,mężczyzna,12,1030.0,3,8,24,4571
splacona_cz,300.0,33,mężczyzna,11,1800.0,3,164,48,1
splacona,300.0,23,mężczyzna,11,1400.0,0,24,48,0
splacona,300.0,45,mężczyzna,11,2100.0,2,49,48,11
splacona_cz,500.0,60,kobieta,13,1212.0,3,53,48,1
splacona,700.0,75,mężczyzna,13,2098.0,3,196,48,211
splacona_cz,400.0,47,mężczyzna,12,600.0,4,8,27,0
splacona,200.0,49,mężczyzna,11,1400.0,3,13,48,0
splacona_cz,662.81,52,mężczyzna,11,3200.0,3,188,48,0
splacona_cz,500.0,60,kobieta,13,1000.0,3,67,48,0
splacona_cz,200.0,72,kobieta,13,730.0,2,560,48,1
splacona_cz,200.0,65,kobieta,13,802.83,3,200,48,0
splacona,369.53,72,kobieta,13,3541.9,1,126,48,24
splacona_cz,600.0,32,kobieta,11,1290.0,3,18,48,2
splacona_cz,300.0,60,mężczyzna,11,3000.0,4,211,48,2
splacona,400.0,43,mężczyzna,11,2284.23,1,299,48,2
splacona_cz,200.0,69,kobieta,16,959.6,3,114,48,0
splacona_cz,300.0,57,kobieta,11,1680.0,3,384,48,2
splacona,500.0,61,mężczyzna,11,1250.0,0,64,48,16
splacona_cz,800.0,60,mężczyzna,11,1000.0,3,62,48,3
splacona_cz,600.0,47,kobieta,11,1700.0,3,88,48,6
splacona_cz,409.15,65,kobieta,16,892.0,2,200,48,0
splacona_cz,294.37,52,kobieta,12,1050.0,2,33,36,0
splacona_cz,300.0,62,kobieta,13,1130.0,3,102,48,0
splacona_cz,300.4,56,kobieta,11,1172.2,3,36,48,0
splacona,600.0,41,kobieta,98,5000.0,2,83,48,5
splacona_cz,300.0,54,mężczyzna,11,1700.0,3,38,48,1
splacona_cz,300.0,57,kobieta,13,611.0,2,138,48,1
splacona_cz,500.0,53,mężczyzna,11,1320.0,3,341,48,0
splacona_cz,426.61,49,kobieta,11,2470.0,4,353,48,0
splacona_cz,200.0,57,mężczyzna,13,12220.0,2,70,48,4
splacona_cz,400.0,53,mężczyzna,11,4000.0,4,9,48,0
splacona_cz,300.0,64,kobieta,16,1132.0,0,96,48,1
splacona_cz,200.0,20,mężczyzna,17,985.0,4,12,13,0
splacona,717.02,64,mężczyzna,13,2010.0,2,137,48,0
splacona_cz,600.0,49,kobieta,11,2800.0,3,318,48,1
splacona_cz,500.0,70,kobieta,13,729.03,4,256,48,0
windykacja,250.0,40,mężczyzna,12,700.0,3,8,23,4568
splacona_cz,200.0,29,mężczyzna,99,1393.85,2,4,4,6
splacona_cz,789.27,63,kobieta,13,860.0,0,79,48,1
splacona_cz,300.0,46,mężczyzna,13,1688.82,2,98,48,7
splacona,200.0,52,kobieta,11,1617.68,2,84,48,215
splacona,300.0,35,mężczyzna,11,1058.0,0,13,48,0
splacona_cz,500.0,72,mężczyzna,13,1700.0,3,13,48,3
splacona_cz,454.0,38,kobieta,11,2927.0,2,200,48,0
splacona,500.0,35,mężczyzna,11,2200.0,0,84,48,12
splacona_cz,300.0,26,mężczyzna,11,1459.0,1,8,48,6
splacona_cz,500.0,60,kobieta,13,936.0,1,30,48,0
splacona_cz,400.0,61,kobieta,13,1090.14,3,74,48,2
splacona,200.0,67,mężczyzna,16,1600.0,2,11,48,0
splacona_cz,200.0,74,kobieta,13,1026.0,4,246,48,0
splacona,416.61,52,mężczyzna,11,2011.0,0,210,48,13
splacona_cz,600.0,55,mężczyzna,16,588.0,0,421,48,2
splacona_cz,300.0,58,kobieta,13,1240.0,0,69,48,2
splacona_cz,400.0,61,kobieta,13,1170.0,2,77,48,0
splacona_cz,300.0,48,kobieta,11,1077.49,3,371,48,2
splacona_cz,200.0,26,kobieta,12,1100.0,0,14,17,4
splacona,200.0,52,kobieta,16,685.0,0,40,48,0
splacona_cz,300.0,49,mężczyzna,13,3900.0,4,29,48,0
splacona_cz,300.0,65,kobieta,13,1350.0,2,110,48,0
splacona_cz,387.31,44,mężczyzna,12,1952.35,3,3,11,0
splacona,200.0,53,mężczyzna,11,1300.0,0,451,48,0
splacona_cz,400.0,56,mężczyzna,11,1842.86,2,7,48,0
splacona,250.0,58,kobieta,16,1589.0,0,26,48,0
splacona,275.97,41,kobieta,11,1000.0,3,60,48,14
splacona_cz,200.0,24,mężczyzna,12,1000.0,4,11,25,0
splacona_cz,600.0,65,mężczyzna,13,1217.0,0,50,48,0
splacona,200.0,51,mężczyzna,12,1030.0,0,8,48,3
splacona_cz,200.0,68,kobieta,13,1134.96,0,160,48,0
splacona_cz,200.0,63,kobieta,16,1389.0,3,90,48,0
splacona_cz,300.0,45,mężczyzna,12,1375.47,1,6,8,0
splacona_cz,500.0,63,kobieta,13,2051.0,0,137,48,0
splacona_cz,378.91,70,kobieta,13,1291.18,4,78,48,0
splacona_cz,500.0,62,kobieta,13,1691.3,0,72,48,3
windykacja,350.0,53,kobieta,17,1031.0,2,50,48,4564
splacona,586.65,57,kobieta,11,1680.0,4,69,48,2
splacona_cz,200.0,73,mężczyzna,13,910.33,3,162,48,7
splacona_cz,800.0,57,mężczyzna,12,2500.0,2,4,5,0
splacona_cz,200.0,55,kobieta,11,1077.0,0,182,48,0
splacona_cz,238.78,53,kobieta,11,1700.0,4,204,48,0
splacona_cz,200.0,30,kobieta,11,1373.34,1,57,48,1
windykacja,662.69,30,mężczyzna,11,2837.0,0,125,48,4564
splacona_cz,400.0,54,kobieta,12,1700.0,4,54,48,0
splacona_cz,300.0,77,kobieta,13,1300.0,0,192,48,0
splacona,300.0,57,mężczyzna,11,1800.0,0,160,48,0
splacona_cz,400.0,66,kobieta,13,850.0,3,66,48,2
splacona_cz,200.0,25,kobieta,17,1200.0,4,164,48,0
splacona_cz,350.0,64,mężczyzna,13,1601.87,0,44,48,6
splacona_cz,500.0,51,kobieta,11,1700.0,3,305,48,0
splacona,300.0,43,kobieta,11,1400.0,4,24,48,2
splacona_cz,200.0,66,kobieta,13,910.0,4,69,48,0
splacona_cz,200.0,53,mężczyzna,11,2094.17,0,240,48,0
splacona_cz,300.0,50,mężczyzna,12,1000.0,1,42,48,1
splacona,200.0,62,kobieta,13,1200.29,1,21,48,0
splacona_cz,400.0,61,kobieta,13,1280.0,4,16,48,2
splacona_cz,300.0,42,kobieta,11,1286.16,0,116,48,0
splacona_cz,200.0,66,kobieta,13,1216.0,4,140,48,0
splacona_cz,500.0,56,mężczyzna,13,1900.0,4,149,48,5
splacona,200.0,42,mężczyzna,11,2200.0,0,42,48,0
splacona_cz,500.0,58,mężczyzna,16,1770.0,4,88,48,0
splacona_cz,200.0,71,kobieta,13,722.05,3,196,48,0
splacona,200.0,70,kobieta,16,1235.0,0,32,48,0
splacona_cz,385.97,54,kobieta,11,1721.7,4,119,48,0
splacona_cz,400.0,51,mężczyzna,11,1800.0,0,258,48,0
splacona_cz,400.0,44,mężczyzna,12,1963.88,3,5,5,0
splacona,400.0,36,mężczyzna,11,3898.0,0,180,48,0
splacona,300.0,72,mężczyzna,13,1870.0,0,84,48,0
splacona_cz,300.0,78,kobieta,13,1239.98,1,254,48,0
splacona_cz,200.0,53,kobieta,12,984.34,3,17,20,4
splacona_cz,500.0,29,kobieta,12,1447.0,4,21,24,1
splacona_cz,300.0,60,kobieta,13,810.0,4,32,48,3
splacona_cz,400.0,56,kobieta,11,1730.13,2,192,48,3
splacona_cz,322.07,35,kobieta,11,2709.34,4,180,48,0
splacona_cz,400.0,35,kobieta,11,2899.34,0,120,48,0
splacona,227.08,60,kobieta,11,1906.42,2,211,48,7
windykacja_sp,561.15,69,kobieta,13,1072.0,4,152,48,292
windykacja_sp,500.0,59,kobieta,13,1400.0,0,53,48,385
splacona_cz,600.0,61,kobieta,13,1050.0,4,138,48,0
splacona,600.0,30,mężczyzna,11,2700.0,4,63,48,0
splacona_cz,200.0,27,mężczyzna,17,728.0,4,99,48,3
splacona_cz,300.0,22,kobieta,12,1634.0,2,11,12,3
windykacja,500.0,22,mężczyzna,17,1896.0,0,33,33,4559
windykacja,300.0,23,mężczyzna,12,1029.0,0,3,11,4559
splacona_cz,200.0,46,mężczyzna,11,1566.82,0,348,48,0
splacona,800.0,61,kobieta,13,1820.0,4,68,48,0
splacona_cz,200.0,70,kobieta,13,907.0,2,233,48,2
splacona,200.0,26,mężczyzna,12,1100.0,1,32,48,9
splacona_cz,400.0,39,kobieta,11,1239.05,1,203,48,6
splacona_cz,200.0,31,kobieta,12,1865.0,1,19,21,5
splacona_cz,400.0,52,kobieta,98,3000.0,0,84,48,2
splacona_cz,500.0,35,kobieta,11,2400.0,3,112,48,4
windykacja_sp,300.0,28,kobieta,11,901.0,3,39,48,387
splacona_cz,300.0,66,mężczyzna,13,2110.0,4,100,48,1
windykacja,400.0,64,kobieta,13,1015.0,4,108,48,4557
splacona_cz,400.0,54,kobieta,11,2368.57,2,409,48,0
splacona_cz,300.0,40,kobieta,11,2505.0,0,163,48,0
splacona_cz,200.0,56,kobieta,17,1100.0,2,26,33,0
splacona,255.49,55,kobieta,16,1072.89,4,121,48,0
splacona_cz,200.0,53,kobieta,99,1100.0,1,51,48,1
splacona,600.0,59,kobieta,13,1400.0,0,245,48,1
splacona_cz,200.0,52,kobieta,99,598.0,0,2,6,0
splacona,200.0,75,kobieta,13,1000.0,0,210,48,0
splacona_cz,200.0,72,kobieta,13,785.0,0,63,48,0
splacona_cz,400.0,75,kobieta,13,1900.0,0,120,48,0
splacona,500.0,37,kobieta,11,2700.0,4,120,48,0
splacona,500.0,32,kobieta,11,3100.0,4,120,48,0
splacona_cz,500.0,49,kobieta,11,1800.0,4,52,48,1
splacona_cz,200.0,47,kobieta,11,1493.98,3,360,48,0
splacona_cz,200.0,51,kobieta,11,932.34,4,394,48,0
splacona_cz,600.0,43,kobieta,11,1443.0,4,33,48,0
splacona_cz,300.0,26,kobieta,12,1300.0,3,7,12,2
splacona_cz,300.0,22,kobieta,12,1500.0,3,3,4,2
splacona_cz,492.01,35,kobieta,98,4000.0,4,18,48,10
splacona,400.0,53,kobieta,16,1362.0,4,28,48,0
splacona_cz,300.0,58,kobieta,13,1244.77,4,38,48,4
splacona_cz,700.0,58,kobieta,13,1872.0,4,34,48,2
splacona,200.0,63,kobieta,16,1340.0,0,160,48,0
splacona,300.0,67,mężczyzna,13,1573.0,0,88,48,1
splacona,200.0,47,kobieta,98,2200.0,4,24,48,0
splacona,300.0,30,mężczyzna,12,1637.0,0,51,48,0
splacona_cz,395.77,63,kobieta,13,1668.0,4,90,48,0
splacona,201.4,60,kobieta,13,1107.0,2,14,48,9
splacona,200.0,39,kobieta,12,1048.27,0,2,19,13
splacona_cz,300.0,61,kobieta,13,2282.0,0,24,48,0
windykacja_sp,417.0,27,kobieta,11,1500.0,0,23,48,133
splacona_cz,300.0,57,kobieta,16,634.64,3,135,48,0
splacona_cz,500.0,24,mężczyzna,11,2327.94,0,34,48,0
splacona,575.74,32,mężczyzna,11,2050.0,4,117,48,10
splacona_cz,300.0,46,kobieta,98,911.0,4,97,48,1
splacona_cz,200.0,61,kobieta,13,992.96,0,11,48,0
splacona_cz,300.0,30,mężczyzna,11,1000.0,4,56,48,1
splacona_cz,200.0,70,kobieta,13,865.0,4,127,48,0
splacona_cz,300.0,54,mężczyzna,11,2100.0,1,37,48,2
splacona_cz,300.0,49,kobieta,11,992.84,4,120,48,0
splacona_cz,200.0,57,kobieta,99,780.0,0,0,3,0
splacona_cz,500.0,60,mężczyzna,11,2100.0,3,186,48,0
splacona,600.0,59,kobieta,13,1370.0,3,75,48,0
splacona_cz,371.45,61,mężczyzna,13,1500.0,4,22,48,1
splacona_cz,200.0,31,kobieta,12,980.0,4,9,10,4
splacona,600.0,54,kobieta,11,1300.0,1,67,48,19
splacona,500.0,36,kobieta,11,1700.0,3,196,48,69
splacona_cz,500.0,61,kobieta,13,1310.0,0,77,48,5
splacona_cz,200.0,50,mężczyzna,16,1045.0,3,198,48,3
splacona_cz,600.0,33,kobieta,12,1540.0,1,38,39,5
splacona_cz,200.0,57,kobieta,11,983.97,2,77,48,5
splacona_cz,300.0,46,kobieta,12,1038.68,0,20,26,0
splacona_cz,295.24,46,kobieta,12,1032.0,4,37,40,4
splacona_cz,300.0,44,mężczyzna,11,3300.0,0,236,48,0
splacona,400.0,67,kobieta,13,815.0,1,143,48,0
splacona,246.99,52,kobieta,11,1400.0,4,160,48,0
splacona_cz,200.0,30,mężczyzna,12,1521.0,0,19,30,0
splacona_cz,400.0,34,kobieta,11,980.11,1,44,48,6
splacona,300.0,26,mężczyzna,12,1800.0,0,53,48,0
splacona_cz,500.0,50,kobieta,17,990.0,0,71,48,0
splacona,400.0,64,mężczyzna,11,2600.0,0,134,48,0
splacona_cz,200.0,55,mężczyzna,11,1460.17,1,60,48,11
splacona,450.0,68,mężczyzna,13,2000.0,4,44,48,12
windykacja_sp,500.0,66,mężczyzna,16,1151.0,0,360,48,311
splacona_cz,400.0,65,mężczyzna,16,1473.04,1,164,48,0
splacona,500.0,58,kobieta,13,720.0,1,231,48,101
splacona_cz,200.0,53,kobieta,16,749.28,4,64,48,0
splacona_cz,300.0,70,mężczyzna,13,1420.0,0,52,48,4
splacona_cz,895.59,47,mężczyzna,11,2500.0,0,203,48,4
splacona_cz,300.0,52,kobieta,11,1400.0,0,160,48,0
splacona_cz,500.0,62,kobieta,13,962.0,0,64,48,3
splacona_cz,300.0,71,mężczyzna,13,1426.0,4,76,48,0
splacona_cz,300.0,63,kobieta,13,1100.0,1,104,48,0
splacona_cz,200.0,48,kobieta,11,967.64,3,318,48,0
splacona_cz,700.0,62,kobieta,13,3700.0,4,26,48,0
splacona_cz,300.0,71,mężczyzna,13,1772.53,1,279,48,4
splacona,300.0,70,kobieta,13,1016.0,0,188,48,0
windykacja,348.19,59,mężczyzna,11,2947.0,4,52,48,4550
splacona_cz,407.31,68,kobieta,16,980.0,4,130,48,9
splacona_cz,500.0,61,kobieta,13,1362.0,4,55,48,14
splacona,300.0,72,kobieta,13,2100.0,1,159,48,282
splacona,500.0,62,kobieta,13,1900.0,4,87,48,0
splacona_cz,328.0,60,mężczyzna,12,1000.0,4,11,14,0
splacona_cz,328.32,50,kobieta,12,1000.0,4,31,34,0
splacona,277.34,39,kobieta,11,1770.0,4,86,48,2
windykacja_sp,500.0,57,kobieta,11,2249.14,0,240,48,155
splacona,350.0,78,mężczyzna,13,1519.0,1,254,48,0
splacona_cz,500.0,53,mężczyzna,11,2080.0,0,318,48,0
splacona,200.0,49,kobieta,17,1079.0,0,29,38,0
splacona_cz,200.0,56,kobieta,98,980.0,3,10,48,0
splacona,400.0,50,kobieta,11,1577.42,1,205,48,23
splacona_cz,700.0,61,kobieta,13,2066.0,4,129,48,2
windykacja,800.0,56,kobieta,13,580.0,4,119,48,4550
splacona_cz,600.0,51,kobieta,11,3200.0,4,54,48,0
splacona_cz,300.0,45,mężczyzna,12,670.0,4,9,11,0
splacona_cz,200.0,54,kobieta,11,1400.0,4,117,48,2
splacona_cz,200.0,39,mężczyzna,11,1300.0,4,45,48,0
splacona_cz,284.19,38,kobieta,98,1200.0,4,46,48,2
splacona_cz,300.0,46,kobieta,11,900.0,4,93,48,1
splacona_cz,200.0,58,kobieta,16,634.0,3,51,48,0
